GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projeto2-Grupo13,ue,UrnaEletronica,146,0,10,0,38,0,14,0,9,0
Projeto2-Grupo13,ue,Voto,0,22,0,0,0,6,0,3,0,3
Projeto2-Grupo13,ue,UrnaEletronica.Voto,12,0,0,0,5,0,2,0,2,0
Projeto2-Grupo13,aa,AutoridadeApuramento,49,122,3,3,11,22,2,7,0,6
Projeto2-Grupo13,default,Main,340,0,18,0,106,0,23,0,12,0
Projeto2-Grupo13,ar,CertificateRevocationList,0,28,0,0,0,6,0,4,0,4
Projeto2-Grupo13,ar,ARServer,94,0,8,0,30,0,8,0,4,0
Projeto2-Grupo13,ar,NotificadorService,0,20,0,0,0,5,0,3,0,3
Projeto2-Grupo13,ar,ARClientHandler,127,0,8,0,36,0,7,0,3,0
Projeto2-Grupo13,ar,AutoridadeRegisto,14,203,3,9,4,52,3,13,0,10
Projeto2-Grupo13,shared,PacoteVoto,0,94,0,0,0,23,0,8,0,8
Projeto2-Grupo13,shared,ConfigManager,17,130,1,1,4,28,1,7,0,7
Projeto2-Grupo13,shared,CertificadoEleitor,27,149,4,8,7,41,6,16,2,14
Projeto2-Grupo13,shared,NetworkUtils,59,0,0,0,18,0,4,0,4,0
Projeto2-Grupo13,shared,SSLUtils,3,51,0,0,1,15,1,2,1,2
Projeto2-Grupo13,shared,CryptoUtils,3,110,0,0,1,25,1,5,1,5
Projeto2-Grupo13,shared,LoggerUtil,28,0,0,0,11,0,6,0,6,0
Projeto2-Grupo13,sv,ServidorVotacao,60,0,4,0,16,0,5,0,3,0
Projeto2-Grupo13,sv,TokenService,0,22,0,0,0,6,0,3,0,3
Projeto2-Grupo13,shared.exceptions,VotacaoEncerradaException,4,0,0,0,2,0,1,0,1,0
Projeto2-Grupo13,shared.exceptions,DescriptografiaFalhouException,4,0,0,0,2,0,1,0,1,0
Projeto2-Grupo13,shared.exceptions,CertificadoInvalidoException,4,0,0,0,2,0,1,0,1,0
Projeto2-Grupo13,shared.exceptions,VotoInvalidoException,4,0,0,0,2,0,1,0,1,0
Projeto2-Grupo13,shared.exceptions,AutenticacaoFalhouException,4,0,0,0,2,0,1,0,1,0
Projeto2-Grupo13,shared.exceptions,TokenInvalidoException,4,0,0,0,2,0,1,0,1,0
Projeto2-Grupo13,eleitor,ARClient,46,0,4,0,14,0,4,0,2,0
Projeto2-Grupo13,eleitor,Eleitor,171,0,12,0,45,0,15,0,9,0
